"attributes.acceleration","attributes.sprintspeed","attributes.agility","attributes.balance","attributes.jumping","attributes.stamina","attributes.strength","attributes.reactions","attributes.aggression","attributes.composure","attributes.interceptions","attributes.positioning","attributes.vision","attributes.ballcontrol","attributes.crossing","attributes.dribbling","attributes.finishing","attributes.freekickaccuracy","attributes.headingaccuracy","attributes.longpassing","attributes.shortpassing","attributes.marking","attributes.shotpower","attributes.longshots","attributes.standingtackle","attributes.slidingtackle","attributes.volleys","attributes.curve","attributes.penalties","attributes.gkdiving","attributes.gkhandling","attributes.gkkicking","attributes.gkreflexes","attributes.gkpositioning","stats.attack","stats.defending","stats.skill","stats.power","stats.movement","stats.mentality","stats.goalkeeper","info.contract.jointeamdate","info.contract.enddate","info.contract.isloanedout","info.nation.id","info.nation.name","info.name.firstname","info.name.lastname","info.name.playerjerseyname","info.name.knownas","info.name.firstnameid","info.name.lastnameid","info.name.playerjerseynameid","info.playerid","info.total_attributes","info.overallrating","info.potential","info.birthdate","info.age","info.teams.club_team.id","info.teams.club_team.name","info.teams.club_team.leagueid","info.teams.club_team.domesticprestige","info.teams.club_team.profitability","info.teams.club_team.slug","info.teams.club_team.jerseynumber","info.league","info.headshot","info.haircolor","info.eyecolor","info.skintone","info.headtype","info.bodytype","info.preferredfoot","info.skillmoves","info.weafoot","info.internationalrep","info.ovrmodifier","info.release_clause","info.height","info.weight","info.gender","info.defensiveworkrate","info.attackingworkrate","info.real_face","info.isretiring","info.valueUSD","info.valueEUR","info.valueGBP","info.wageUSD","info.wageEUR","info.wageGBP","info.traits.trait1","info.traits.trait2","card_attrs.pac","card_attrs.sho","card_attrs.pas","card_attrs.dri","card_attrs.def","card_attrs.phy","primary_position","other_positions","updated","added","removed","slug","real_ovrs.0","real_ovrs.1","real_ovrs.2","real_ovrs.3","real_ovrs.4","real_ovrs.5","real_ovrs.6","real_ovrs.7","real_ovrs.8","real_ovrs.9","real_ovrs.10"
81,83,74,63,94,79,81,84,69,79,26,87,77,83,72,80,82,52,87,70,77,37,83,76,14,20,82,78,75,4,5,4,5,4,"80","24","73","83","77","69","5","2024-07-19","2026-01-20",1,45,"Spain","Álvaro Borja","Morata Martín","Morata","Morata",41665,26199,26198,201153,2067,83,83,"1992-10-23T00:00:00.000Z",31,131681,"Milano FC",31,10,1,"milano-fc",77,68,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p201153.png",0,4,3,46,389,"Right",3,4,3,0,,190,84,"Male",,,"Yes","No",33500000,30500000,26000000,195000,175000,150000,"Finesse Shot, Rapid, Relentless","","82","81","71","77","37","81","ST","CAM",true,false,false,"alvaro-borja-morata-martin",13,58,54,50,56,79,72,79,81,80,82
38,37,47,29,65,43,69,75,25,57,12,10,62,12,15,20,14,19,14,44,39,20,56,19,18,15,13,12,24,81,82,75,83,81,"19","18","22","51","46","32","81","2023-08-17","2026-06-01",0,129,"Morocco","Yassine","Bounou","Bono","Yassine Bounou",40292,5286,5095,209981,1325,83,83,"1991-04-05T00:00:00.000Z",33,605,"Al Hilal",350,10,1,"al-hilal",37,350,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p209981.png",0,9,5,2504,5,"Left",1,2,3,2,,195,78,"Male",,,"Yes","No",13000000,12000000,10000000,43500,40000,34000,"Footwork","Cross Claimer","38","23","32","40","16","51","GK","-",true,false,false,"yassine-bounou",80,27,26,27,31,30,35,33,30,28,29
94,93,90,88,62,84,40,84,47,81,58,83,83,85,78,86,76,56,49,76,77,44,77,77,47,39,68,81,59,9,11,11,8,12,"70","44","77","68","90","69","11","2024-07-01","2027-06-01",0,38,"Portugal","Rafael A.","Ferreira Silva","Rafa","Rafa",31157,12075,31147,216547,2113,83,83,"1993-05-17T00:00:00.000Z",31,327,"Beşiktaş",68,9,4,"besiktas",27,68,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p216547.png",12,3,2,1508,1,"Right",4,3,3,0,,172,66,"Male",,,"Yes","No",33000000,30000000,25500000,85000,78000,66000,"Rapid, Flair, First Touch, Quick Step, Trivela, Acrobatic","","94","73","75","86","47","58","CAM","ST",true,false,false,"rafael-a-ferreira-silva",18,69,66,52,64,83,78,82,82,83,76
77,76,56,87,89,82,83,78,84,76,80,64,74,80,70,70,48,57,77,73,81,86,74,61,84,76,58,75,47,14,8,12,10,12,"67","82","71","78","75","71","12","2024-01-04","2026-06-01",0,95,"United States","Emily","Sonnett","Sonnett","Emily Sonnett",10994,35309,35309,232074,2179,82,82,"1993-11-25T00:00:00.000Z",30,116310,"Gotham FC",2221,7,5,"gotham-fc",6,2221,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p232074.png",1,10,3,5501,8,"Right",3,3,3,0,,170,62,"Female",,,"Yes","No",27000000,25000000,21000000,11000,10000,8500,"Intercept, Anticipate, Bruiser, Relentless","Career Injury Prone","77","59","72","75","81","85","CB","-",true,false,false,"emily-sonnett",18,78,78,81,80,73,75,72,70,70,69
90,91,85,81,92,83,74,84,59,83,46,86,77,84,75,79,79,73,81,69,78,40,83,78,66,42,78,70,76,14,8,14,10,8,"79","50","75","82","87","72","11","2024-12-20","2027-06-01",0,95,"United States","Lynn","Biyendolo","Biyendolo","Lynn Biyendolo",22945,47257,47257,236640,2236,82,82,"1993-05-21T00:00:00.000Z",31,116300,"Seattle Reign FC",2221,8,5,"seattle-reign-fc",6,2221,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p236640.png",0,4,4,7000,2,"Right",4,3,3,1,,172,62,"Female",,,"Yes","No",27500000,25000000,21500000,12000,11000,9500,"Finesse Shot, Rapid, Quick Step, Aerial","Career Injury Prone","91","80","74","83","55","77","LM","ST",true,false,false,"lynn-biyendolo",18,68,67,62,66,81,76,80,82,81,82
89,87,89,79,72,75,60,77,58,80,57,78,81,88,77,87,79,62,52,65,80,58,69,68,59,54,69,76,63,10,13,10,9,14,"72","57","76","69","85","70","12","2021-08-10","2027-06-01",0,163,"Japan","Kaoru","Mitoma","Mitoma","Kaoru Mitoma",19244,25893,25893,255565,2144,82,82,"1997-05-20T00:00:00.000Z",27,1808,"Brighton & Hove Albion",13,5,2,"brighton-hove-albion",22,13,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p255565.png",0,3,4,561,1,"Right",4,4,3,1,,178,74,"Male",,,"Yes","No",35500000,32500000,27500000,120000,110000,93000,"Finesse Shot, Technical, First Touch, Quick Step","","88","71","74","83","56","66","LM","-",true,false,false,"kaoru-mitoma",18,71,69,61,67,81,76,81,80,82,75
76,73,84,74,68,68,61,77,72,89,42,80,87,90,81,89,76,88,53,81,86,41,82,86,55,52,78,92,83,10,7,11,11,12,"75","50","88","73","77","76","11","2023-07-05","2025-06-01",0,52,"Argentina","Ángel","Di María","Di María","Ángel Di María",41685,9328,9328,183898,2215,83,83,"1988-02-14T00:00:00.000Z",36,234,"Benfica",308,10,5,"benfica",11,308,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p183898.png",0,9,4,529,345,"Left",5,2,3,0,,180,69,"Male",,,"Yes","No",13000000,12000000,10000000,21000,19500,16500,"Finesse Shot, Chip Shot, Incisive Pass, Technical, Flair, Trickster, Trivela","","75","81","86","84","49","67","RW","RM",false,false,false,"angel-di-maria",17,67,63,57,66,82,80,84,82,82,77
38,44,43,39,60,34,55,82,31,45,18,9,53,20,11,10,11,15,11,33,30,10,52,14,10,13,9,11,20,85,80,69,85,82,"15","11","18","43","50","30","81","2018-07-01","2026-06-01",0,17,"Finland","Lukáš","Hrádecký","Hradecky","Lukáš Hrádecký",22834,15981,15957,190941,1232,83,83,"1989-11-24T00:00:00.000Z",34,32,"Bayer 04 Leverkusen",19,9,2,"bayer-04-leverkusen",1,19,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p190941.png",5,4,3,2015,5,"Right",1,3,3,1,,192,85,"Male",,,"Yes","No",7000000,6000000,5500000,70000,64000,54000,"","Career Team Player, Career Leadership","41","19","26","40","12","45","GK","-",false,false,false,"lukas-hradecky",82,25,25,24,28,27,31,29,28,26,27
71,86,59,55,93,64,95,80,68,81,36,84,78,79,70,76,84,60,83,68,76,35,85,73,40,30,70,74,88,8,15,14,10,7,"77","35","72","82","71","73","11","2024-08-29","2027-06-01",0,7,"Belgium","Romelu","Lukaku","Lukaku","Romelu Lukaku",32334,22821,22821,192505,2095,83,83,"1993-05-13T00:00:00.000Z",31,48,"Napoli",31,9,1,"napoli",11,31,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p192505.png",0,9,10,1047,301,"Left",3,4,3,1,,191,94,"Male",,,"Yes","No",33500000,30500000,26000000,165000,150000,130000,"Power Shot, Power Header, Incisive Pass, Press Proven","","79","81","71","72","45","80","ST","-",false,false,false,"romelu-lukaku",17,59,57,57,59,76,71,77,79,77,81
81,77,81,83,80,85,72,83,82,85,75,84,84,86,76,82,78,69,68,82,85,71,81,76,73,70,79,83,72,5,11,14,7,5,"78","72","81","79","81","81","9","2022-07-01","2026-06-01",0,3,"Armenia","Henrikh","Mkhitaryan","Mkhitaryan","Henrikh Mkhitaryan",15423,25920,25920,192883,2325,83,83,"1989-01-21T00:00:00.000Z",35,131682,"Lombardia FC",31,10,3,"lombardia-fc",22,31,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p192883.png",0,9,2,2507,2,"Right",4,5,3,0,,177,75,"Male",,,"Yes","No",16000000,14500000,12500000,94000,86000,73000,"Incisive Pass, Jockey, Anticipate, Technical, Flair, Relentless","","79","78","80","83","71","80","CM","CAM",false,false,false,"henrikh-mkhitaryan",15,78,76,74,79,82,82,82,82,81,79
